Model,Variable,Coefficient,Conf. Lower,Conf. Upper
Pooled OLS,internet_usage_pct,0.01088876597300609,0.004940765498106544,0.01683676644790564
Pooled OLS,log_gdp_per_capita,1.4665916155482261,1.3384220490286465,1.5947611820678058
Pooled OLS,log_population,1.1575557696255367,1.1112241890392913,1.2038873502117822
Country FE,internet_usage_pct,0.00992658605735155,0.005216521680022581,0.014636650434680518
Country FE,log_gdp_per_capita,0.6963626364062516,0.2329631877790046,1.1597620850334986
Country FE,log_population,-0.5610283113717202,-1.407419277627712,0.2853626548842716
Two-way FE,internet_usage_pct,-0.0003349421123350694,-0.006962211719429685,0.006292327494759546
Two-way FE,log_gdp_per_capita,0.3598397601438763,-0.13921014988144959,0.8588896701692021
Two-way FE,log_population,-1.377053578796223,-2.330047320917007,-0.4240598366754388
